date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:37:18	21541/21541	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2012%20May%202018%2009:07:15%20GMT	http://designcarebd.com/corvance/assets/img/blog/1.png	D:/microsoftsystem/designcarebd.com/corvance/assets/img/blog/1.72.delayed	(from http://designcarebd.com/corvance/blog.html)
14:37:19	57138/57138	---M--	200	added ('OK')	image/jpeg	etag:%22df32-56939b0558400%22	http://designcarebd.com/corvance/assets/img/blog/03.jpg	D:/microsoftsystem/designcarebd.com/corvance/assets/img/blog/03.jpg	(from http://designcarebd.com/corvance/blog.html)
14:37:23	55374/55374	---M--	200	added ('OK')	image/jpeg	etag:%22d84e-56939abec5d80%22	http://designcarebd.com/corvance/assets/img/blog/05.jpg	D:/microsoftsystem/designcarebd.com/corvance/assets/img/blog/05.jpg	(from http://designcarebd.com/corvance/blog.html)
14:37:33	91518/91518	---M--	200	added ('OK')	image/jpeg	etag:%221657e-56939bdaf7c00%22	http://designcarebd.com/corvance/assets/img/blog2/01.jpg	D:/microsoftsystem/designcarebd.com/corvance/assets/img/blog2/01.jpg	(from http://designcarebd.com/corvance/blog2.html)
14:37:37	110947/110947	---M--	200	added ('OK')	image/jpeg	etag:%221b163-56939bec22480%22	http://designcarebd.com/corvance/assets/img/blog2/02.jpg	D:/microsoftsystem/designcarebd.com/corvance/assets/img/blog2/02.jpg	(from http://designcarebd.com/corvance/blog2.html)
14:37:53	121944/121944	---M--	200	added ('OK')	image/jpeg	etag:%221dc58-56939c1800c00%22	http://designcarebd.com/corvance/assets/img/blog2/04.jpg	D:/microsoftsystem/designcarebd.com/corvance/assets/img/blog2/04.jpg	(from http://designcarebd.com/corvance/blog2.html)
14:37:54	96111/96111	---M--	200	added ('OK')	image/jpeg	etag:%221776f-56939c2b13900%22	http://designcarebd.com/corvance/assets/img/blog2/05.jpg	D:/microsoftsystem/designcarebd.com/corvance/assets/img/blog2/05.jpg	(from http://designcarebd.com/corvance/blog2.html)
14:37:54	194655/194655	---M--	200	added ('OK')	image/jpeg	etag:%222f85f-56939c0305a80%22	http://designcarebd.com/corvance/assets/img/blog2/03.jpg	D:/microsoftsystem/designcarebd.com/corvance/assets/img/blog2/03.jpg	(from http://designcarebd.com/corvance/blog2.html)
14:37:58	15679/15679	---M--	200	added ('OK')	image/png	etag:%223d3f-56938e1fb9680%22	http://designcarebd.com/corvance/assets/img/blog/avatar.png	D:/microsoftsystem/designcarebd.com/corvance/assets/img/blog/avatar.png	(from http://designcarebd.com/corvance/single-post.html)
14:38:02	21561/21561	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2012%20May%202018%2009:07:59%20GMT	http://designcarebd.com/corvance/Popover%20requires%20tooltip.js	D:/microsoftsystem/designcarebd.com/corvance/Popover%20requires%20tooltip.7b.delayed	(from http://designcarebd.com/corvance/assets/js/bootstrap.min.js)
14:38:09	112864/112864	---M--	200	added ('OK')	image/jpeg	etag:%221b8e0-56939c400ea80%22	http://designcarebd.com/corvance/assets/img/blog2/06.jpg	D:/microsoftsystem/designcarebd.com/corvance/assets/img/blog2/06.jpg	(from http://designcarebd.com/corvance/blog2.html)
14:38:17	605499/605499	---M--	200	added ('OK')	image/png	etag:%2293d3b-5691cfc648480%22	http://designcarebd.com/corvance/assets/img/single-project/1.png	D:/microsoftsystem/designcarebd.com/corvance/assets/img/single-project/1.png	(from http://designcarebd.com/corvance/single-project.html)
14:38:25	396414/396414	---M--	200	added ('OK')	image/jpeg	etag:%2260c7e-56938faa8ba00%22	http://designcarebd.com/corvance/assets/img/blog/01.jpg	D:/microsoftsystem/designcarebd.com/corvance/assets/img/blog/01.jpg	(from http://designcarebd.com/corvance/single-post.html)
